Equipment Category,Manufacturer Name,Model Name,Dimensions,column4
Dish,TBD,TBD,0.60 m,
Antenna,TBD,TBD,"1,306.00cm x 168.00cm x 84.00mm [514.17"" x 66.14"" x 3.31""]",
Antenna,HUAWEI,ATD3516R8V07,695 x 166 x 83 mm,
Dish,HUAWEI,,0.60 m,
Dish,Ericsson,MiniLink,0.90 m,
Dish,TBD,TBD,1.80 m,
Antenna,Andrew,HBX6566DS-VTM,1306 x 168 x 84mm,
Dish,Huawei,Minilink,1.2m,
Antenna,Moyano,MY-DTBS-196518,1360 x 1280 x 85mm,
Antenna,Comba,ODV/065R18K-G,1315 x 265 x 90mm,
Dish,,Minilink,1.2m,
RRU/RRH,Ericsson,B12,518 x 47 x 156 mm,
Antenna,Commscope,HBX-6516DS-VTM,1293 x 305 x 165 mm,
Antenna,Commscope,HBX-6516DS-VTM,1306X168X84mm,
Dish,Ericsson,Mini Link,1.20m,
Dish,Ericsson ,UKY21040/SC15,1.2,
RRU/RRH,HUAWEI,5909,400x300x120mm,
Dish,Ericsson,MiniLink,2.40m,
RRU/RRH,HUAWEI,5904,400x300x100mm,
Antenna,Andrew,HBX6516DS-VTM,2070x269x132mm,
RRU/RRH,TBD,TBD,400x300x120mm,
Dish,Ericsson,Minilink,0.30m,
Antenna,TBD,TBD,2070x269x132mm,
Antenna,Andrew,HBX6513DS-VTM,2070x269x132mm,
Dish,Huawei,,0.6m,
Dish,Ericsson,UKY 210 08 SC11,0.3,
Antenna,EMS,RR651902DP,1829 x 203 x 71 mm,
RRU/RRH,Huawei,RRU3908,485mm x 380mm x 170mm,
Antenna,Andrew,HBX6515DS-VTM,2073 x 269 x 132 mm,
RRU/RRH,Huawei,3942,485mm x 380mm x 170mm,
Antenna,Andrew,HBX6515DS-VTM,2133 x 356 x 178 mm,
RRU/RRH,Huawei,3281,400mm x 300mm x 120mm,
Dish,Huawei,N/D,0.9 m,
Dish,Huawei,N/D,0.3 m,
Antenna,Andrew,LDXX-6515DS-VTM,2070 mm x 549mm x 165mm,
Antenna,Andrew,LBX-6515DS-VTM,2070mm x 269mm x 132mm,
Antenna,Andrew,N/D,1306 x 168 x 84 mm,
Antenna,Andrew,GSM-900,1306 x 166 x 83 mm,
RRU/RRH,Huawei,RRU/GRRU,,
Antenna,Commscope,HBX-6515DS-VTM,1306 x 166 x 83 mm,
Antenna,HUAWEI,ADU4518R1V06,1365mm x 260mm x 80mm,
Antenna,HUAWEI,AAU5339W,690mm x 390mm x 160mm,
Antenna,PD,PD,1315mm x 265mm x 90mm,
Dish,HUAWEI,A07S12HAC,1.20m,
Dish,Ericsson,Mini-Link,1.2,
Dish,Huawei,A07S12HAC,1.2,
Antenna,Huawei,AMB4519R40V06,2009x499x206,
RRU/RRH,Huawei,3900,485 x 380 x 170 mm,
Dish,PD,PD,0.9m,
RRU/RRH,Huawei,3900,480x370x170,
RRU/RRH,Huawei,3252,480x270x140,
RRU/RRH,Ericsson,7201,480 x 240 x 150 mm,
RRU/RRH,Huawei,3252,480 x 270 x 140 mm,
Antenna,Andrew,LDX-6515DS-VTM,25740x 260 x 130 mm,
Dish,Ericsson,Microwave,1.2m,
Dish,,N/D,0.6,
Antenna,Huawei,HWXX6516DS-VTM,1390x305x118,
Antenna,Huawei,LDX-6516DS-VTM,2570x260x130,
Antenna,andrew,HWXX-6516DS-VTM,1390 x 305 x 118 mm,
RRU/RRH,,5304,400x300x100,
RRU/RRH,Ericsson,12 B2,518 x470 x156 mm,
Antenna,Moyano,MGD3-800TV,1380 x 160 x 90 mm,
RRU/RRH,Huawei,5904,400 x 300 x 121 mm,
RRU/RRH,Huawei,5904,400x300x121,
Antenna,Amphenol,CBX171065-8-M,1360 x 160 x 80 mm,
Antenna,Huawei,ADU4516R6V07,1999x429x196,
Dish,Huawei,Huawei,2.40,
Dish,Huawei,Huawei,1.8,
RRU/RRH,Ericsson,RRU 01 B2,514 x 168 x 84 mm,
Antenna,Andrew,RR651802-DPL2,1828 x 203 x 71 mm,
Dish,Huawei,,2.4 m,
Antenna,Amphenol,C-BXA-185065-8M,1825 x 202 x 70 mm,
Dish,Huawei,,0.3 m,
RRU/RRH,Huawei,5904,400 x 300 x 120mm,
RRU/RRH,TBD,TBD,488 x 280 x 155mm,
RRU/RRH,Huawei,3900,.49 x 3.8 x .17 m,
Antenna,TBD,TBD,"2,073.00cm x 269.00cm x 132.00mm",
Antenna,Andrew,(3)DBXLH-6565EC-VTM +(3)HBXX-6516DS-VTM,See notes,
Dish,,,.90 m,
Antenna,Huawei,HBX-6515DS-VTM,1306x168x86,
Antenna,Amphenol,CBAX-18506-8MC,1300 x 175 x 90 mm,
Antenna,Huawei,AQU4518R21v06,1499x429x196,
Dish,Huawei,Huawei,1.20,
Dish,Ericsson,Minilink,2.4 m,
Antenna,Amphenol,BXA-185065-8-M,1305 x 168 x 82 mm,
RRU/RRH,N/D,KRC-188741,385 x 286 x 470 mm,
Antenna,Commscope,HBX-6516DS-VTM,1305 x 168 x 84 mm,
Dish,Huawei,,1.2,
Dish,Huawei,,0.6,
Dish,Ericsson,12-VKV2,1.2 m,
Dish,Ericsson,06-VKV2,0.6 m,
Antenna,Allgon,,1300 x 160 x 65 mm,
Antenna,EMS,RR65-19-02DP,1828 x 203 x 71 mm,
Antenna,Huawei,ADU4516DSVTM,1999x429x196,
Dish,Ericsson,12VKV2,2.4 m,
Dish,Ericsson,06-VKV2,1.2 m,
Dish,Andrew,VHP4,1.20 m.,
Dish,Huawei,,1.20 m,
Dish,RFS,SB2-W71BB,0.6,
Antenna,Agisson,ANT-A90451701,2515 x 289 x 85 mm,
Antenna,Huawei,ADU4516Rv06,1999x429x196,
RRU/RRH,Ericsson,59004,400 x 300 x 150 mm,
Dish,Huawei,Huawey,1.20,
RRU/RRH,Ericsson,12 B2,518 x470 x 156 mm,
Antenna,Comba,ODV2065R18K-G,1315 x 265 x 90 mm,
Dish,Huawei,PD,0.30 m,
Antenna,Huawei,ADU 45161V06,1999x429x196,
Dish,Huawei,PD,1.20 m,
Dish,Huawei,A15S06HAC,06m,
RRU/RRH,Ericsson,2217B2,340 x 291 x 105 mm,
Dish,Commscope,VHLP27W,0.6M,
Dish,Commscope,VHLP-15-HW1A,0.3m,
Dish,Huawei,A7W06MDD-3NX,0.6,
Antenna,Moyano,MY-DTBS198518,1360 x 160 x 80 mm,
Antenna,EMS,RR651902DP,1320 x 160 x 84 mm,
Antenna,Huawei,ADU451819V01,1954 x 323 x 89 mm,
Dish,Huawei,A15S09HAC,0.9 m,
Dish,Huawei,A15S12HAC,1.2m,
Dish,Kathrein,A07F18HAC,1.8m,
RRU/RRH,Huawei,5304W,400x300x150,
RRU/RRH,Ericsson,01B2,636 X 383 X 169 mm,
Antenna,Commscope,HBX-6516DS-VTM,1300 x 163 x 84 mm,
Antenna,Moyano,MY-DTBS-196518,1300 x 160 x 65 mm,
Dish,Ericsson,Mini Link,0.6,
RRU/RRH,Huawei,3956,420 x 300 x 150 mm,
Antenna,Huawei,AAU5726e,1080x670x220,
RRU/RRH,,,480 x 270 x 140 mm,
Antenna,,,2574 x 269 x 132 mm,
Dish,,,0.9 m,
Antenna,,SDU4518R1V01,1365 x 299 x 109 mm,
RRU/RRH,Huawei,5517t,642x480x140,
Antenna,Moyano,MY-DTBS-196518,1360 x 260 x 85 mm,
RRU/RRH,Huawei,5517t,642 x 480 x140 mm,
Dish,Huawei,A07F18HAC,1.8 m,
Dish,Huawei,A07D12HS,1.2,
Dish,Huawei,A07D12HS,1.2 m,
Dish,CommScope,VHPL2-11W-NC3,0.6 m,
RRU/RRH,Ericsson,2217B2,571 x 365 x 292 mm,
Antenna,Huawei,A704516R0v06,1936 x 298 x 149 mm,
RRU/RRH,Huawei,3952,400 x300 x 150 mm,
Antenna,ALGON,7250.04,1502 x 161 x 56 mm,
Antenna,Commscope,LNX-6515-DS-A1M,2765mm x 411mm x 284mm,
Dish,Ericsson,UKY21095/SC11,0.60 m,
Dish,RFS,ND,0.6m,
Dish,Andrew,KP8-105-P3A,2.4m,
Dish,Huawei,A15S03HAC,0.6 M,
Dish,RFS,SB2-W71ANEC,0.6,
Antenna,Commscope,LDX-6516DS-VTM,2073mm x 269mm x 132mm,
Dish,Huawei,A16S03HAC,0.3m,
RRU/RRH,Ericsson,221940,571 x 365 x 292mm,
Antenna,Moyano,MY-DTBS-196518,1300 x 250 x 85 mm,
RRU/RRH,Ericsson,12 B2,520 x 470 x 160 mm,
RRU/RRH,Huawei,5904W,400 x300 x 150 mm,
Dish,Ericsson,Ericsson,0.3,
Antenna,Comba,ODV-065R18K-G,1310 x 160 x 90 mm,
Antenna,EMS,RR651802DPL,1420 x 200 x 60 mm,
Dish,Pasolink,Nec,0.6 m,
Dish,,,0.2 m,
Antenna,HUAWEI,RV651802DP,1420 x 200 x 70 mm,
RRU/RRH,Ericsson,5909,400 x 300 x 100mm,
RRU/RRH,Huawei,RRU3900,480 x 380 x 170 mm,
Antenna,Huawei,AMB4519R6V06,2099 x 399 x 196 mm,
Dish,Ericsson,Mini-Link,0.30 m,
RRU/RRH,Huawei,3900,480x380x170,
Antenna,TBD,TBD,2133 x 356 x 178 mm,
Dish,Andrew,VHLP4-18,0.60 m,
Antenna,Andrew,LBX-6515DS-VTM,2070 x 269 x 132 mm,
RRU/RRH,Huawei,RRU3936,470 x 300 x 120  mm,
Dish,Huawei,AAU5711A,1400x395x175,
Antenna,Huawei,LDXX-6515DS-VTM,2070x549x165,
Antenna,Huawei,2CPX208R-V1,2090x504x118,
Antenna,Huawei,RV651802DP,1420x200x70,
Antenna,Huawei,ADU451819V01,1954x323x89,
Dish,,,0.3,
Antenna,Andrew,LDXX6516DS-VTM,2057 x 260 x 130 mm,
Antenna,Andrew,2CPX208R-V1,2090 X 504 X 118 mm,
RRU/RRH,Ericsson,5909,400 x 300 x 150mm,
RRU/RRH,PD,PD,PD,
Antenna,Huawei,LDX6515DS-VTM,2070 x 594 x 165 mm,
Antenna,Huawei,ADU4518R6V06,1365 x 269 x 86 mm,
Antenna,Huawei,LDX6515DS-VTM,2070x594x165,
Dish,Cambium,ePMP Force 425,0.49,
RRU/RRH,HUAWEI,5909,400x300x100mm,
Dish,Andrew,HP6-105C0P3A,1.80m,
Antenna,Commscope,LDX-6516DS-VTM,2570 x 260 x 130mm,
Dish,Ericsson,HP6-105C-P3A,1.8,
Antenna,Huawei,ADU4516R6V06,1999x429x146,
RRU/RRH,HUAWEI,3900,480mmx380mmx170mm,
RRU/RRH,HUAWEI,3900,480mmx380mm170mm,
Antenna,Commscope,HBXX-6516DS-VTM,1470x160x80,
Antenna,Andrew,DBXLH-6565EC-VTM,2572mmx260mmx130mm,
Antenna,Andrew,HBXX-6516DS-VTM,1470mmx160mmx80mm,
RRU/RRH,Ericsson,7204,480 X 240 X 150mm,
Dish,ANDREW,A15S06HAC,0.6m,
RRU/RRH,Ericsson,221940,520 x 330 x 176 mm,
Dish,ND,ND,0.3m,
Dish,ANDREW,A15S09HAC,0.3m,
Antenna,Comba,ODV2-065R18K-G,1310 x 260 x 90 mm,
Antenna,Commscope,RR90-18-00DP,1820 x 200 x 70mm,
Antenna,Commscope,HBXX-6516DS-VTM,1290 x 300 x 160mm,
Antenna,Huawei,ADU4518R1V 06,1360 x 260 x 86 mm,
RRU/RRH,Ericsson,5909,400 x 300 x 100 mm,
Antenna,Commscope,LDX-6516DS-VTM,2073 x 269 x 132 mm,
RRU/RRH,,5909,400x300x100,
Dish,PD,PD,"(3) 0.90 m, (1) 0.60 m",
RRU/RRH,,5904W,400x300x150,
Dish,,Minilink,1.2,
Antenna,Commscope,LDXX-6515DS-VTM,2057 x 260 x 130 mm,
Antenna,Huawei,AAU5711A,1400 x 395 x 175 mm,
Antenna,Huawei,LDXX-6515DS-VTM,2057x260x130,
Antenna,Huawei,AAU5711A,1400x395x175,
Dish,Huawei,,0.90 m,
RRU/RRH,Huawei,5308,400mm x 300mm x 120mm,
RRU/RRH,Huawei,5308,400x300x120,
Antenna,Commscope,RVV-65D-R3,2688mm x 350mm x 208mm,
Antenna,RYMSA,MGD3-800TV,1308x160x90,
Antenna,RYMSA,MCD3-800-TV,1380 x 160 x 90 mm,
Antenna,Commscope,HBXX-6516DS-VTM,1380 x 160 x 80 mm,
Dish,Ericsson,Mini Link,0.3 m,
Dish,PD,,0.90m,
Dish,Huawei,Huawey,0.90,
RRU/RRH,Ericsson,12 B2,518x470x156mm,
Antenna,Commscope,LDX6515DS-VTM,2073x269x132mm,
RRU/RRH,Huawei,3952,400 x 300 x 170mm,
Antenna,Commscope,LDX-6515DS-VTM,"2,073.00mm x 269.00mm x 132.00mm [81.61"" x 10.59"" x 5.2""]",
Antenna,HUAWEI,ADU4518R1v06,1365mmx299mmx180mm,
Antenna,HUAWEI,AMB4519R6v06,1468mmx349mmx166mm,
Antenna,PD,PD,1315mmx265mmx90mm,
Dish,Ericsson,,0.30m,
RRU/RRH,Huawei,3936,480x270x140,
RRU/RRH,Huawei,B02-1900,480x270x140,
RRU/RRH,Huawei,3936,480 x 270 x 140 mm,
RRU/RRH,Huawei,BXX-1900.A.A080,480 x 270 x 140 mm,
Antenna,CommScope,LDX6516DS-VTM,2574 x 269 x 132 mm,
Dish,Huawei,Minilink,0.60 m,
Antenna,Huawei,LNX-6515DS-A1M,2650 x x 301 x 180.5 mm,
Dish,Huawei,Huawey,1.2,
Dish,Huawei,Huawey,0.9,
Antenna,Huawei,LNX6515DS-A1M,2650 x 180.5 x 301 mm,
Antenna,Amphenol,CBXA-171065/8-M,1855 x 215 x 160 mm,
Antenna,Andrew,HBX-65DS-VTM,1306 x 168 x 84 mm,
Dish,,,1.2 & 0.6 m,
RRU/RRH,HUAWEI,5904W,400 x 300 x 150mm,
RRU/RRH,HUAWEI,5909,400 x 300 x 100mm,
Antenna,TBD,,"2,133.00cm x 356.00cm x 83.00mm [839.76"" x 140.16"" x 3.27""]",
Dish,Huawei,A0612HAC,1.20 m,
Dish,,Minilink,0.6,
Dish,,A0612HAC,1.2,
RRU/RRH,Huawei,5904W,400x300x150 mm,
Dish,Mini Link,Ant 3A 1.2 7/8 HPX,1.20m,
Antenna,TBD,,1315 x 265 x 90 mm,
Dish,,Ant 3A 1.2 7/8 HPX,1.2,
Antenna,Huawei,ADU-4518R1V06,1360x260x86 mm,
Antenna,Rymsa,MGD3-800TV,1340 x 170 x 100 mm,
Antenna,Moyano,MY-DTBS-196516,1360 x 160 x 80 mm,
Antenna,HUAWEI,ATR4518R6V06,1999mm x 349mm x 166mm,
Antenna,PD,PD,2133mm x 356mm x 178mm,
RRU/RRH,Huawei,3900,480 mm x 270 mm x 140 mm,
Antenna,Andrew,ADU4518R1v06,1365mm x 269mm x 86mm,
RRU/RRH,TBD,,490x380x170mm,
Dish,Ericsson,,1.20 m,
Dish,Huawei,A15S12HAC,1.20 m,
Dish,Ericsson,PD,0.6m,
RRU/RRH,Ericsson,AS118747,640 x 400 x 120 mm,
Antenna,Amphenol,C-BXA-185065-8-M,1360 x 160 x 70 mm,
Antenna,Moyano,MY-DBS-196518,1300 x 150 x 70mm,
Dish,Andrew,VHLP2-15W-CR43,0.6 M,
Dish,PD,,1.2 M,
Antenna,Huawei,LDX6515-VTM,2073X269X132,
RRU/RRH,Huawei,AAU5733,995x499x210,
RRU/RRH,Huawei,3258,400X300X120,
Antenna,Huawei,ATD4516R8,1100X259X135,
Antenna,Huawei,NNVV-65C-R4,2438X498X197,
Antenna,Huawei,2CPX208R-V3,2090X504X118,
RRU/RRH,Huawei,3258,400mm x 300mm x 120mm,
Antenna,Commscope,2CPX208R-V1,2090mm x 504mm x 118mm,
RRU/RRH,Huawei,3908,"485.00 x 380.00 x 170.00mm [190.94"" x 149.61"" x 6.69""]",
Antenna,Commscope,LDX-6515DS-VTM,"2073mm x 269mm x 1320mm [816.14"" x 105.91"" x 5.2""]",
RRU/RRH,Huawei,5903,"400.00 x 300.00 x 120.00mm [157.48"" x 118.11"" x 4.72""]",
Antenna,Commscope,VV65-AR1B,"1390mm x 305mm x 1180mm [547.24"" x 120.08"" x 4.65""]",
RRU/RRH,Huawei,5301,"485.00 x 300.00 x 100.00mm [190.94"" x 118.11"" x 3.94""]",
Dish,HUAWEI,,"0.60m [23.62""]",
RRU/RRH,Huawei,3942,"485.00 x 380.00 x 170.00mm [190.94"" x 149.61"" x 6.69""]",
Antenna,Commscope,2VV-33CR4,"2499mm x 395mm x 228mm [983.86"" x 155.51"" x 8.98""]",
Antenna,CommScope,VV-65-AR1B,1390X305X118,
Antenna,Commscope,2VV-33C-R4,2499x395x228,
Dish,Huawei,Mini-Link,1.80 m,
Dish,Huawei,PD,1.20m,
Dish,PD,PD`,1.20m,
Antenna,PD,PD,,
Antenna,Huawei,ADU 4518R1V06,1365x269x86,
RRU/RRH,Huawei,AAU5733,699x395x160,
Dish,HUAWEI,,0.30m,
Antenna,Commscope,LNX6515DS-VTM,2453mm x 301mm x 180.50mm,
RRU/RRH,ERICSSON,5909,400 x 300 x 170 mm,
RRU/RRH,,221940,,
RRU/RRH,Huawei,3800,610x380x200,
Dish,,,.90m,
RRU/RRH,Ericsson,400 x 300 x 150 mm,22 kg,
Antenna,TBD,TBD,"2,133 x 356 x 178mm",
Dish,HUAWEI,A15SC09HAC,0.90m (O.R. 1.20m),
Dish,HUAWEI,A15SC03HAC,0.30m (O.R. 1.20m),
RRU/RRH,Ericsson,RRU21940,,
RRU/RRH,,RRU22 1940,,
Antenna,Andrew,HBX-6516-VTM,1306 x 168 x 84 mm,
Antenna,Commscope,LBX-6516DS-VTM,2717x267x132,
Dish,Huawei,A7WD09MDD,0.9,
RRU/RRH,Ericsson,2217,340 x 297 x 105 mm,
Antenna,Commscope,RR90-18-00DP,1820 x 200 x 70 mm,
Antenna,EMS,RR901800DP,1820 x 200 x 70 mm,
Antenna,PD,ADU4511819v01,1954 x 383 x 89 mm,
Dish,Radwin,Winklink,0.30 m,
Dish,Huawei,AS15S09HAC,0.9 m,
Dish,Huawei,AS15S09HAC,0.9,
Antenna,,,0.3,
Antenna,Commscope,HBX-6516DS-VTM,132 x 2070 x 269 mm,
Antenna,Commscope,DBXLH-6565EC-VTM,14294 x 269 x 132 mm,
Antenna,Commscope,HBX-6516DS-VTM,2070 x 269 x 132 mm,
Antenna,Moyano,MY-DB196518(2),1300 x 150 x 70 mm,
Antenna,Andrew,HBX- 6513DS-VTM,695 x 166 x 83 mm,
Dish,Huawei,A11D06HAC,0.6,
Antenna,Commscope,LDX6515-VTM,2073 x 269 x 132 mm,
RRU/RRH,RRU,PD,400 x 300 x 170 mm,
Antenna,PD,PD,2073 x 269 x 132 mm,
Antenna,HUAWEI,ATR4518R6V06,1999x349x166mm,
Antenna,HUAWEI,AAU5339W,1365x269x86mm,
RRU/RRH,TBD,,485x380x170mm,
RRU/RRH,Huawei,RRU3936,400 x 300 x 150 mm,
RRU/RRH,Huawei,RRU5903,400 x 300 x 120 mm,
Dish,Ceragon,AM-4-15-CR,1.20 m,
RRU/RRH,Huawei,5903,400x300x120,
Dish,Andrew,VHLP2,0.60 m,
RRU/RRH,Huawei,SRRUB05-0850,485 x 380 x 170 mm,
Dish,Ceragon,Am-4-15-CR,1.2,
Antenna,TBD,TBD,"2,073.00cm x 269.00cm x 132.00mm [816.14"" x 105.91"" x 5.2""]",
RRU/RRH,Huawei,3952,485mm x 380mm x 170mm,
Antenna,Commscope,LDXX-6515DS-VTM,2567mm x 549mm x 165mm,
Antenna,Commscope,2CPX208R-V3,2090mm x 504mm x 118mm,
RRU/RRH,Huawei,3952,485x380x170,
Antenna,Commscope,RVVS4-65M-R4,999mmX350mmX208mm,
RRU/RRH,HUAWEI,3971,400mmx300mmx120mm,
Antenna,TBD,TBD,999mmX350mmX208mm,
RRU/RRH,Huawei,5301,400 x 300 x 100mm,
Antenna,Commscope,LDX6515DS-VTM,"2,073.00cm x 269.00cm x 132.00mm [816.14"" x 105.91"" x 5.2""]",
Dish,PD,,"0.60m [23.62""]",
RRU/RRH,TBD,,400 x 300 x 170mm,
Antenna,TBD,,"2,499.00cm x 395.00cm x 228.00mm [983.86"" x 155.51"" x 8.98""]",
Antenna,Commscope,2CPX208R-V3-KT,"2,090.00cm x 504.00cm x 118.00mm [822.83"" x 198.43"" x 4.65""]",
RRU/RRH,Huawei,3900,485x380x170,
Antenna,Commscope,2VV-33C-R4,2499x395x228mm,
RRU/RRH,Huawei,ATR4518R6V06,1999x349x166,
RRU/RRH,PD,PD,,
Antenna,,PD,2073 x 269 x 132 mm,
Dish,Andrew,VHLP-23-2WH,0.6M,
RRU/RRH,Huawei,3936,524 x 470 x 158mm,
RRU/RRH,,PD,,
Antenna,Andrew,(3)DBXLH-6565EC-VTM + (3)HBXX-6516DS-VTM,See notes,
Antenna,,,2073 x 269 x 132 mm,
Dish,Huawei,PD,0.6m,
RRU/RRH,TBD,,518mmx470mmx156mm,
RRU/RRH,Ericsson,3281,400 x 300 x 120 mm,
RRU/RRH,TBD,TBD,499mmx380mmx170mm,
RRU/RRH,Huawei,3936,400mmx300mmx120mm,
RRU/RRH,Ericsson,3936,400 x 300 x 120 mm,
RRU/RRH,Huawei,3268,400x300x120,
RRU/RRH,Huawei,3804,485x356x140,
Antenna,Andrew,LDXX-6515DS-VTM,2073 x 269 x 132 mm,
Antenna,HUAWEI,AMB4520R9V06,2550mmx399mmx196mm,
Antenna,Commscope,LDX6516DS-VTM,2717mmx376mmx267mm,
Antenna,HUAWEI,HBX6516DS-VTM,1365mmx269mmx86mm,
RRU/RRH,Huawei,3936,400 x 300 x 120mm,
Antenna,TBD,TBD,2073x269x132mm,
RRU/RRH,Huawei,5508,400 x 300 x 120mm,
Dish,TBD,,0.60m,
Antenna,Commscope,NNVV-65C-R4,2438x498x197mm,
RRU/RRH,Ericsson,5904,400mm x 300mm x 120mm,
RRU/RRH,TBD,TBD,400mm x 300mm x 100mm,
Antenna,HUAWEI,ADU4518R1V06,1365mm x 299mm x 180mm,
Antenna,Huawei,ADU4518R1V06,1365x299x180,
Dish,Huawei,A07S09HAC,0.9,
Antenna,Commscope,RVV-65D-R3-KT,2830mm x 460mm x 350mm,
Antenna,CommScope,DBXLH-6565EC-VTM,2574x269x132,
Dish,Huawei,A07D06HAC,0.6,
RRU/RRH,Ericsson,11B2,640 x 380 x 160 mm,
RRU/RRH,Ericsson,221940,510 x 330 x 170 mm,
Antenna,Andrew,HBX-6516DS,1300 x 160 x 80 mm,
Antenna,Andrew,HBX-6513DS-VTM,695 x 166 x 83 mm,
Dish,PD,Huawei,0.6 m,
Antenna,Huawei,LDX6516DS-VTM,2717x267x376,
Antenna,Huawei,ADU4518R1V0,1365x269x86,
Dish,,A15S06HAC,0.3,
RRU/RRH,Ericsson,11B2,636 x 383 x 169 mm,
Dish,Huawei,A07D12HAC,1.2,
Antenna,Andrew,HBX-6516DS-VTM,1306 x 166 x 83 mm,
Dish,Ericsson,Mini-Link,0.6m,
Antenna,Huawei,AMB4519R6V06,2099mm x 349mm x 166 mm,
Antenna,Huawei,ATR4518R6V06,2099mm x 349mm x 166 mm,
Antenna,Andrew,DBXLH-6565EC-VTM,2570 x 260 x 130 mm,
RRU/RRH,Huawei,3900,480 x 380 x 170 mm,
Antenna,Andrew,HBXX-6516DS,1470 x 160 x 80 mm,
Antenna,Andrew,HBX-6516DS-VTM,1306 x 138 x 84 mm,
RRU/RRH,Ericsson,12B2,520 x 470 x 160 mm,
Dish,,,.61 m,
RRU/RRH,Ericsson,221940,0.5 x 0.3 x 0.2 m,
Dish,,,1.22 m,
Antenna,Comba,ODV2-065R18K-G,1315 x 260 x 98 mm,
Dish,Ericsson,Minilink,.61 m,
Antenna,Andrew,CCVVPX308.11R-C3,2100 x 498 x 197 mm,
RRU/RRH,Huawei,RRU3936,470 x 300 x 120 mm,
Antenna,Andrew,LDXX6516DS-VTM,2567 x 549 x 165 mm,
Antenna,Andrew,LBX6515DS-VTM,2073 x 269 x 132 mm,
Antenna,Commscope,HBXX-6516DS-VTM,1472 x 164.6 x 85.3 mm,
Dish,PD,,.90 m,
RRU/RRH,Ericsson,2217 B2,340 x 291 x 105 mm,
Antenna,Andrew,HBX-6516DS,1306 x 166 x 83 mm,
Antenna,N/D,ADU451819V01,1954 x 323 x 89 mm,
Antenna,Commscope,ADU4516R6v06,1999x429x196,
RRU/RRH,HUAWEI,3952,400x300x150,
Antenna,Commscope,N45C-1XB1,2437mm x 457mm x 178mm,
Antenna,Commscope,N45C-1XB1,2437x457x178,
Dish,Huawei,5909,400x300x100,
Dish,Commscope,VHPL2-15-NC3,0.60m,
RRU/RRH,Huawei,3952,470 x 30 x 170 mm,
Antenna,Andrew,LDX-6515DS-VTM,2577 x 269 x 132 mm,
RRU/RRH,Huawei,3036,470 x 30 x 120 mm,
Antenna,Andrew,HWXX-6515DS1-VTM,1390 x 305 x 118 mm,
RRU/RRH,Huawei,3804,485x285x250,
Antenna,Comba,ODV2-065R18KG,1315 x 265 x 90 mm,
Antenna,Andrew,HBX6516DS-VTM,695 x 166 x 83 mm,
Dish,,PD,0.6m,
Antenna,Huawei,AAU5339W,699 x 395 x160 mm,
RRU/RRH,Huawei,3036,400 x 300 x 100mm,
Antenna,Commscope,LDX-6515DS-VTM,"2,073.00cm x 269.00cm x 132.00mm [816.14"" x 105.91"" x 5.2""]",
Dish,,TBD,0.60m,
RRU/RRH,Huawei,5903,400 x 300 x 100mm,
Antenna,Commscope,LDX-9014DS-VTM,2435x225x164mm,
RRU/RRH,Huawei,RRU's 3036,400x300x100,
Antenna,Commscope,2CPX208R-V3,2090x504x118mm,
Antenna,Commscope,LDX-9014DS-VTM,2435x225x164,
Dish,Ericsson,Ericsson,0.60,
RRU/RRH,Huawei,5904,400 x 300 x 100 mm,
Antenna,Andrew,HBXX-6516DS-VTM,1294 x 305 x 166 mm,
Antenna,Huawei,ATR4518R6,2020 x 349 x 166 mm,
Antenna,Huawei,A704516R0V06,2535x298x149,
Antenna,Commscope,LDX-6515DS-VTM,"2,073.00cm x 269.00cm x 132.00mm",
Antenna,Commscope,DBXLH-6565EC-VTM,2570 x 260 x 130 mm,
RRU/RRH,,,490 x 380 x 170 mm,
Dish,,,1200 mm,
Dish,Ericsson,A7WD6MAC-3NX,0.6,
Antenna,Commscope,HBXX-6516DS-VTM,14470 x 160 x 80 mm,
Antenna,Commscope,DBXLH-6565E-vtm,2574x269x132mm,
Antenna,,,41.1m,
Dish,Huawei,A07S09HAC,0.6,
Dish,Huawei,A10WD09MAC,0.9,
RRU/RRH,Huawei,RRU3281,400 x 300 x 150 mm,
Antenna,Commscope,RVVPX310 11R-V3,2533 x 350 x 208 mm,
RRU/RRH,Huawei,RRU3936,400 x 300 x 100 mm,
Antenna,Andrew,LDX-6515DS-VTM,2570x269x132 mm,
RRU/RRH,Huawei,3952,400 x 300 x 100 mm,
Antenna,Commscope,RVV-65D-R3,2068 x 350 x 200 mm,
RRU/RRH,Huawei,3804,400 x 300 x 150 mm,
Dish,Andrew,VHLP1-23-2WH,0.60m,
Antenna,Commscope,2CPX208R-V1,2090 x 500 x 110 mm,
Antenna,TBD,TBD,2090 x 500 x 110 mm,
RRU/RRH,Huawei,3952,400x300x100,
Antenna,CommScope,DBXLH-6565EC-VTM,2570x260x130,
RRU/RRH,Huawei,3804,400x300x150,
Antenna,Huawei,LDX-6516DS-VTM,2577x269x132,
Dish,,VHLP1-23-2WH,0.3,
Antenna,Andrew,LDX-6515DS-VTM,2073x269x132 mm,
Dish,HUAWEI,VHLP2-18-NC3,0.60m,
RRU/RRH,Huawei,3804,485 x 285 x 250 mm,
Antenna,Andrew,RVV-65D-R3-KT,2830x460x350 mm,
Antenna,Commscope,N45C-1XB1,2437x457x178mm,
