Equipment Category,Manufacturer Name,Model Name,Dimensions,column4
RRU/RRH,HUAWEI,5904W,400mm x 300mm x 150mm,
Antenna,HUAWEI,AMB4519R40V06,2099mm x 499mm x 206mm,
RRU/RRH,Huawei,5904W,400 x 300 x 150,
Dish,PD,PD,0.60m,
Antenna,HUAWEI,ADU4518R21V06,1499mm x 449mm x 115mm,
Antenna,Huawei,AQU4518R21V06,1499x449x115,
Dish,Huawei,A7WD06MAC,0.6,
Antenna,Huawei,AMB4519R40v06,2099x499x206,
Antenna,HUAWEI,ADU4518R1V06,1365mmx269mmx86mm,
RRU/RRH,PD,PD,480mm x 360mm x 140mm,
RRU/RRH,HUAWEI,5904,400mm x 300mm x 150mm,
Antenna,Huawei,AMB4519R6V06,2099x399x196,
Antenna,HUAWEI,AMB46519R6V06,2099mm x 399mm x 196mm,
Antenna,HUAWEI,AAU5339W,699mm x 395mm x 160mm,
Dish,PD,PD,1.20m,
Antenna,HUAWEI,ADU4518R1V06,1365mm x 299mm x 109mm,
RRU/RRH,HUAWEI,5258,480mm x 360mm x 140mm,
Antenna,HUAWEI,ATD4516R8V08,1100mm x 260mm x 130mm,
RRU/RRH,Huawei,5258,480x360x140,
Antenna,HUAWEI,AMB4520R9V06,2550mm x 399mm x 196mm,
Antenna,Huawei,ATD4516R8V08,1100x260x13,
Antenna,,,2' (60cm),
Antenna,,,2.4 x 0.30 m,
Antenna,,,4' (120cm),
Dish,,,up to 1.2 mts,
Antenna,,,"2"" (60cm)",
RRU/RRH,Huawei,5903,420X300X120,
RRU/RRH,Huawei,3036,400X300X100,
RRU/RRH,Huawei,5304,400x300x150,
Dish,,,up to 1.2 m,
Antenna,,,4'(120cm),
Dish,Huawei,A15S06HAC,0.6,
Antenna,,,4' (120 cm),
RRU/RRH,Huawei,3952,480x380x70,
RRU/RRH,Huawei,3804,480x280x150,
Antenna,Huawei,RVV-65D-R3,2688x350x208,
Antenna,,,0.6 m,
Antenna,,,1.2 m,
Antenna,Huawei,ADU4518R1V06,1365x269x83,
Dish,Huawei,A7WD09MDD-3NX,0.9,
Antenna,Commscope,RVVS4-65M-R4,999x350x208,
RRU/RRH,HUAWEI,5904,400 x 300 x 150mm,
RRU/RRH,TBD,TBD,636 x 383 x 169mm,
Antenna,HUAWEI,AAU5339W,699 x 395 x 160,
Dish,HUAWEI,A15S06HAC,0.60 m,
Dish,TBD,TBD,1.20 m,
Antenna,TBD,TBD,1360 x 260 x 86 mm,
RRU/RRH,Huawei,3952,400x300x120,
Antenna,Huawei,ADU4518R1V06,1360x299x11,
Antenna,Comscope,LDX-6515DS-VTM,2073x269x132,
RRU/RRH,Huawei,3936,400x300x100,
RRU/RRH,Huawei,5301,400 x 300 x 100 mm,
Antenna,Commscope,RVV-65D-R3,2688 x 350 x 208 mm,
RRU/RRH,Huawei,3942,485 x 380 x 170 mm,
Antenna,Commscope,2CPX208R-V3,2090 x 504 x 118 mm,
RRU/RRH,Huawei,5903,400 x 300 x 150 mm,
Antenna,Commscope,AAU5711a,1400 x 395 x 175 mm,
RRU/RRH,Huawei,5508,400 x 300 x 150 mm,
RRU/RRH,Huawei,AAU5711a,1400 x 395 x 175 mm,
Antenna,Commscope,AMB4519R5v06,2685x359x178,
Antenna,Commscope,2CPX208R-V3,2090x504x118,
RRU/RRH,Huawei,5903,400x300x100,
Antenna,Huawei,AAU5711,1400x395x175,
RRU/RRH,Huawei,AAU5711a,1400x395x175,
Dish,,,0.6 m,
RRU/RRH,Huawei,3936,400 x 300 x 120 mm,
Antenna,Commscope,LDX6515DS-VTM,2073 x 269 x 132 mm,
RRU/RRH,RRU,5301,400 x 300 x 170 mm,
RRU/RRH,,B02-1900 / RRU,610 x 380 x 220 mm,
Dish,Ericsson,PD,0.90,
RRU/RRH,PD,PD,400mm x 300mm x 150mm,
Antenna,PD,PD,"1,365.00mm x 269.00mm x 86.00mm [53.74"" x 10.59"" x 3.39""]",
Dish,HUAWEI,A15S03HAC,0.30m,
Antenna,HUAWEI,ADU4518R1V06,"1,365.00mm x 269.00mm x 86.00mm [53.74"" x 10.59"" x 3.39""]",
RRU/RRH,Huawei,RRU 5904,400mm x 300mm x 150mm,
Antenna,Huawei,ADU4518RV06,1365mm x 269mm x 86mm,
RRU/RRH,Huawei,RRU3971,400 mm x 300 mm x 100 mm,
Antenna,Huawei,CFGPS-38BH,0.10x0.10x0.20,
Antenna,Huawei,AAU5835f,2099x470x330,
RRU/RRH,Huawei,5904,300 120 x 100 mm,
Antenna,Andrew,LDX-6516-VTM,2574 X 269 132 mm,
RRU/RRH,Huawei,5909,400 X 300 X 120 mm,
Antenna,Huawei,ADU 451BR,1131 x 323 x 89 mm,
Dish,Huawei,,1.2 m,
RRU/RRH,Huawei,AAU5339W,699x395x160,
Antenna,CommScope,DBXLH-6565EC-VTM,2577x269x132,
Dish,TBD,TBD,0.90 m,
RRU/RRH,HUAWEI,3936,400mm x 300mm x 120mm,
Antenna,HUAWEI,ADU4518R1V01,1365mm x 299mm x 109mm,
RRU/RRH,HUAWEI,AAU5339W,699mm x 395mm x 160mm,
Antenna,Andrew,DBXLH-656EC-VTM,2574mm x 269mm x 132mm,
Dish,Ericsson,MiniLink,1.20m,
Antenna,TBD,TBD,1365x269x86mm,
Dish,HUAWEI,3082HH,0.60m,
Dish,Ericcson,Mini-Link,1.2,
Antenna,Huawei,ADU4516R6v06,1999x349x166,
Dish,Cambiun,3082HH,0.6,
RRU/RRH,Huawei,3908,485 x 380 x 170 mm,
Antenna,Commscope,CCVVPX308.11 R-C3,2100 x 498 x 197 mm,
Antenna,Huawei,AMB4520R9V06,2550mm x 399mm x 196 mm,
Antenna,Huawei,AAU5339W,699mm x 395mm x 160 mm,
Antenna,Huawei,ATR4518R6V06,1999mm x 349mm x 166 mm,
RRU/RRH,Ericsson,5909,400mm x 300mm x 100mm,
Antenna,CommScope,CCVVPX308.11R-C3,2100x498x197,
RRU/RRH,Ericsson,RRU 01 B2,636 x 383 x 169 mm,
Antenna,RYMSA,BGD3-800TV,1340 x 300 x 90 mm,
RRU/RRH,Ericsson,RRU 11 B2,636 x 383 x 169 mm,
Dish,Huawei,A15S06HAC,0.3 m,
Dish,Ericsson,Mnilink,0.6 m,
Dish,Ericsson,UKY21095/SC11,0.6,
Antenna,Moyano,MY196518,1302 x 155 x 70 mm,
Antenna,Commscope,HBXX-6516DS-VTM,1290 x 300 x 160 mm,
Antenna,,,2133 x 356 x 178 mm,
Dish,Huawei,A15S06HAC,0.6 m,
RRU/RRH,HUAWEI,3936,400mmx300mmx100mm,
RRU/RRH,HUAWEI,3971,400mmx300mmx100mm,
Antenna,TBD,TBD,2570mmx260mmx130mm,
RRU/RRH,TBD,TBD,400mmx300mmx100mm,
Dish,HUAWEI,A15S06HAC,0.60m,
Antenna,Andrew,DBXLH-6565EC-VTM,2570mmx260mmx130mm,
Antenna,Commscope,LDX6516DS-VTM,2574x269x132,
RRU/RRH,Huawei,5904,400X300X15,
Dish,Ericsson,UKY21095,0.6,
RRU/RRH,Ericsson,3702,0.48 x 0.24 x 0.15 m,
Antenna,Huawei,ADU4518R1V06,1365X260X80,
RRU/RRH,Ericsson,RRU 221940,520 x 330 x 170 mm,
RRU/RRH,Ericsson,RRU 221949,520 x 330 x 170 mm,
Dish,Ericsson,UKY22043,0.6,
Antenna,EMS,RR65-19-02DP,1.82 x 0.20 x 0.07 m,
Antenna,Commscope,HBX-6516DS-VTM,1.30 x 0.16 x 0.08 m,
Antenna,Moyano,MY-DBS-196518,1.30 x 0.15 x 0.07,
Antenna,,PD,2133 x 356 x 178 mm,
Dish,Kathrein,UKY 21095,0.60 m,
Dish,Kathrein,UKY 22043,0.60 m,
Dish,N/D,N/D,1.2 m,
Dish,N/D,Windlink,0.3 m,
Dish,CommScope,VHLP2-15,0.6,
Antenna,HUAWEI,ADU4518R1V06,1365mmx299mmx109mm,
Dish,HUAWEI,A07S06HAC,0.60m,
Antenna,EMS,TBD,"1,320.00mm x 160.00mm x 84.00mm [51.97"" x 6.3"" x 3.31""]",
Dish,Ericsson,VHLP2-15,0.60m,
Dish,HUAWEI,A15S03HAC,"0.30m [11.81""]",
RRU/RRH,Huawei,5301,400x300x120,
RRU/RRH,Huawei,3900,610x380x200,
Antenna,Huawei,AMB4519R9v06,2550x499x206,
Antenna,CommScope,RVVPX310R-V,2490x296x244,
Antenna,CommScope,LDXX-6516DS-VTM,2567x549x165,
RRU/RRH,Huawei,RRU3908,485 x 380 x 170 mm,
Antenna,Andrew,LDX-6515DS-VTM,2567 x 549 x 165 mm,
RRU/RRH,Huawei,MRR3900,610 x 380 x 200 mm,
RRU/RRH,Huawei,RRU3952,400 x 300 x 150 mm,
Antenna,Andrew,RVVPX310.11R-V3,2533 x 350 x 208 mm,
RRU/RRH,Huawei,RRU5301,400 x 300 x 120 mm,
Antenna,hUAWEI,ADU4518R1V06,1365 X 299 X 109 mm,
RRU/RRH,Ericsson,5904W,400 X 300 X 150 mm,
Dish,Ericsson,Minilink,0.6 m,
Dish,PD,PD,0.6 m,
Dish,ND,ND,0.90m,
Dish,Ericsson,MiniLink,0.60m,
Antenna,HUAWEI,ADU4518R1V06,1365x269x86m,
Antenna,TBD,TBD,1320x150x84mm,
Dish,Huawei,A15S03HAC,0.30 m,
RRU/RRH,Huawei,5904W,400x300xx150,
Dish,Ericsson,Minilink,0.60 m,
Antenna,Huawei,ADU-4518R1V06,1360x260x86,
Dish,Ericsson,Minilink,0.6,
Dish,Ericsson,Minilink,0.9,
Dish,Cambiun,Winlink,0.6,
Dish,PD,PD,0.60 m,
Antenna,Rymsa,BGD3-800TV,1340 x 300 x 90mm,
RRU/RRH,Ericsson,12B2,518 x 470 x 156mm,
